uf,profissional,metrica_1,metrica_2
BA,b'gAAAAABlvSCB9bda7Kx0RERN4IoZWTATUbkYwH0pz0RHsP-l7LGTV6Oy2mj1uTQdwItyTFNpec7YgKiYVB393zmFl7Z-LCrjiujyPPPop7HdJHEZvp3eODdEP-qiFRHGgPKd_nQ1PYor',8,7
BA,b'gAAAAABlvSCBaEbgocGut43kkCKF7B_MsTytvTRu8BN4lYWL-F4MD7kwP0U_NgjbZ_r2jxgDAKYLIGQjzi-wJLvhaYzxu6eL0aDhI3yZVxIjPTAdLAiuXfI=',9,1
BA,b'gAAAAABlvSCBMIy7oGQY-Rvnj-ehhrtOgszqDjxfzVYlzEGwd-CfOOZcSydJFIk3aMMZto9Be4KKiciRQdiTsezsZuPblw9KqT-IziLWkDs4wp2c7us_g9lY1fVh4OtsCjv19n9K-nGc',4,1
BA,b'gAAAAABlvSCBcdgQNRUaF_ICC_AqG_hKcuNKpwWiWo3PNZ84EUa6JgAeuwRmUVEpsCMPbLwPKbZivNgAVAuHn1NrbZPmwFSSilF9OdYN0BSKHvm91Hu0AS4=',6,4
BA,b'gAAAAABlvSCBIkpeK8y4x8VVQmUG_pjLsHViYvNj-JwtN4EBLuubs4DVwO_6MpuE4gU40Mo-Qzexbmw4F-v4dgDnuBd3yjYlnERRH-iinDWfUv_oxvcJKHY=',2,9
BA,b'gAAAAABlvSCBIJrqGabPVdLRYrZk5zfYvA6t62HTdzn45pUAuaSZWdvvPMtSOcsFX37ktLPy6VIDdf-r9KjCvRdAs0DL8Q7VoSlY9_3J2-CSMZh4Pid211U=',7,2
BA,b'gAAAAABlvSCB5tyzE1lj-H9fnqwWHvY1o2IJGSB5K5PmFpRHsLjKeX-KvVA9XIJOOqXoinq27KPjtzl98TbCyBLTo-QhI85e4PV7tnE9vPZ8xcSo4kHJy_A=',20,0
BA,b'gAAAAABlvSCBZVvoca1St1OmCN-vWdBt1ku0gV1bYno3nDzG7IBZ3rTYOH3Dm54Cn6KIZdmG1coaNuYZobd_yviN8WsckSpQvG0kNVJ8Czs0JtdOl57Xjx-TopezXk4-hyAJB__4t_6T',5,4
BA,b'gAAAAABlvSCBn3tGzv9iV323FWN6SwIVZPMVbkuyfz6yWA8wvtSQ_Qeh_YD0_6zO_x_kEQhmt33Q0c_EnmvVTYdFzOeImu58UkM8NqtQJl_fSgvKsKLez3g=',9,8
BA,b'gAAAAABlvSCBaw55gOFGvh-wuuEhGeNfkzvnuJ-Zn2RaSArfuJsoywr1Zzo4XF3K9ZN3vufqBWp3U2eU0bf54hj4HRxjE7xXEWctOVkduSlbXBDGZOPY4SY=',2,6
BA,b'gAAAAABlvSCB-6Kt86RKuTVPreXp2X__rNWw3UuyOtIsqd8Yl5A4SgJhGNAWTpLQh0oMm2WvdSXvBVYYWiHrDDAkAZR0so96TlPbxoxwRqAdo4wN6uGrH8Q=',6,9
BA,b'gAAAAABlvSCBg55V4uhUWCqdmEbxQ5UrhE5zeJ5t0EwQ6bBz-NpBMAF5hvJPeN3MWc9li3e8vsq6dVmF4JXqIbbDyDempFDp020PQFzBXW0PQAjDTKUjucE=',0,9
BA,b'gAAAAABlvSCBWKlMuwULFSUgRnuoiCYIKH2EeP2o6BeCFM34RS0wVeyTHCd4MtKn-yEmIPpXcjsOxH8LkU4JagHi_r2lXogWxES8vXPCrapjcd6kQcHNnL8=',7,1
BA,b'gAAAAABlvSCBCLCTfnonHi2f57roP9zBFbJhDIuDAscZa1REWHxkT2dUCDeIUXe30IAghuoMXnrJuDI7SdogiplFw3QMR4XE00pBcBmrjs7PXQ4l8FCnQe1rM8ZFtMzQcc4Lw7NG6PRm',1,1
BA,b'gAAAAABlvSCBw8WDnugdzBY7rLeFzsWxO-2bD55Qk7vUh6VwIovMIEgHSxKC9P82YBm3aaK_OzOs68EtalHWn9zg6ou33LvHA6d-QTUlsocjBtBe4seWMi4=',5,5
BA,b'gAAAAABlvSCBTVBfmEutsaKsD6T0ZT_bNEdCgOZSM0D6rySFl4NXhPp3ZV6sea7zwZjWQ2zEJUwxUBvlUTH2pyfpxasfYOjlmAaROExG8m8DLExq3048VzI=',2,9
BA,b'gAAAAABlvSCBXKzxU6nak9FPUHNXM3bHHgTiiNc8FmqOkQUUb3ou71p8ZOBIbr-W-kVKWbtIHEVrY9m70eOXBuUXj4t08TGiLmHOHBbRB3WcfMB_78KeYG0=',6,8
BA,b'gAAAAABlvSCB0xsLmjSNFfqw8c6WaY6rziwYMa0faxMHEsTbpHJ4zUvNvfnXvaDAm_jM1iLjR0urXu85esQiW975Lhtk9zFaq9I2IgSeYHNMZa-AbLsha3E=',2,7
BA,b'gAAAAABlvSCB0fPmkXJzPtEOoPtPNkV1FaafnQfzrtv5VPZpzpNM5PWV_6JDBD5mCty9ROVwtb5mGiPOnlg9RQ6vuNEjqxLSPas3HVjv--MwgCUDu2uBpjE=',5,4
BA,b'gAAAAABlvSCBXDCPfd4L63Aotu1aNRu70Layq3cmEPH0LpfPVd4FT77PmtfixZo6jJhcyqLXlfF08es93lwsd-E61j95k-pC_tD4kziwJNt4PRdmicbY9v0=',8,3
BA,b'gAAAAABlvSCBXdkJ5vex0_mmxXHdELJ_QGhfVKCvgAfmEd3T36wYdabpAClo5QTooJFJ1sYBIufSpzKbkDK84gJTewGPj6Yb0-F_5S9hr9RKsRqf93JXdyI=',3,0
BA,b'gAAAAABlvSCBl7QJF_PWhMLbP_oUeKH43fsV54lZVD3aIN4_3YAAdVqDVEisbUosh78_BcOQzv9UONbuvzCPTb4T7woLtVMupp7AhBsIxsRUruuU3vIlAeI=',4,5
BA,b'gAAAAABlvSCBxAb7uE1gYwWegBluazS0Ppr4cllXG_Nx7jR2CTYvU_hbUTGEa28GVkJxtxsY35-5AIZw7xxXV0fQghupXIDr6yinXip35XmN4pVYRb2OkDk=',3,3
BA,b'gAAAAABlvSCBdGxm2qj-OD3X7EEKHVQAXn5DYCqk0n2zUO0_XSIpF-v6PMScL3r3MlgcV3f5youS1tuqaGpn5-alLw_lRiivkoO1ZZ2RDC7i32m5wWeIxIQm40ua4YIxX568v02VL5uJ',7,2
BA,b'gAAAAABlvSCBY5WTKCr3oJP_X16xscSXjkb5mgjWxecGxKUPtdFgTMygfKTUjUWrLHz8cM2cQ3heXtRqXNP8-ikVOdHqV4FETfMarHTS-CmuHXFgrEcKo3E=',5,5
BA,b'gAAAAABlvSCBxm8MVM_mojBQR8h78QTGrPpbG1kVLs6KRYMbBMWm1i4SKwgBS7kKrLPnL9Kz0tm3wk2BGXDFrw3uCsHQGtcgDu8NRuXBKYsq0zAj3Az3vBI=',8,9
BA,b'gAAAAABlvSCBF-SyjiIadd5UaY_07lRSSGeUm3IVw4k5oUYgYnVw4IIkuhqhgNbK8oBn1n84CssSfC6lf07m0XXCVOAfff7kkP5LN6c7SyHgtp_GgCE85oo=',7,7
BA,b'gAAAAABlvSCBFu5QosFPxD6_OB68R1kSz1FZhAS43WQ9VEpMROAupaAjp-AkScg3R2ATCc5LefMjEOL_WiDeNH9ftV6gGKlqvQcysiMlOsv_Es3iNcyu7BM=',6,3
BA,b'gAAAAABlvSCBtVQyG2biFjYbwTOgDVvM65JXsW0VzZSlzpXqU5xJgltFnnwnbuvs_1x44jnP8Jtae2cBDEPucBEsc-_MPwMmCZq7YG2QIDw9dgu-Szed6_0=',0,9
BA,b'gAAAAABlvSCBLS76LzwroxHC6kFVbtj6YJuEZxXasbLsU7gYwp-gBYI_NiKEwhSwQv47lhuTMoKZIS2q29gSCNDWsDzCnO6bCVxXy8rmscScFAUSJbFPSvk=',96,84
BA,b'gAAAAABlvSCB3OExbSbhGNZcyYhinHPemJFarhHi3cn9ilvtFKO2sL0WTaBzpd5nQ6zmTGxbZw_YlEOaCwaLzxd7AQCHAqW0ggKmgXIwWXSR6vDfVv_RANM=',1,9
BA,b'gAAAAABlvSCBIHe9aB2ULsDJxwrzMlXRxrewg_D960TZSStlX3PiUHmEG45ShxVaHGw0GhGpIx0SSC55oos_vqDCZ2HN3bF6DGxmCCRhY_W9oCfTKCOk_-M=',6,4
BA,b'gAAAAABlvSCBwFZyk-E_BBAF7y7XtxXqFrxQRQqGDSj5QVlKuSMfhmOQbiSmEVz8BfM0lQyKJv81FxThRyruc02_REZcsSKnhzQgaVHIQ3YvWFqErYY4E_8=',2,3
BA,b'gAAAAABlvSCBJ9UNQT06xYllwtqueTGWMLHIgYg8MGOcxgt8MuaSdUIoJD7OJI0ezBkRaQgWlQ02idAZ4V7pv5JY3AqamxLj2OdNF08z8n9Geyc9NpV610Q=',9,4
BA,b'gAAAAABlvSCBEr9rJfgCTVy_8EGtCg8jGpgjGGu88tl3EECXOUNZKdNN3C0WYYPK3o3AHg7dss815n63WpsGvoYoBvNrwk-B9lD2qMby4aaHRMofOe-Nzb0=',9,5
BA,b'gAAAAABlvSCBPdEGeBBcNrmIgnRiuS2NpCjnXRzWJGh2Hi-WAjr5tPqqiXX7WLqiObGgKAFqolKb-Hk_f6QBuCdrkn_54N-t51jgIBFMBzw69sXvXuR77YM=',9,3
BA,b'gAAAAABlvSCBbgQrRJi99D_5Y5LxCaK7rXzMfMzIXOw_PCmrmZ-6_qMgmMe6TldOHxpl-or-ee1KH4GaQRpVB-WYpLfmNezqys5JaSajpMaTlxxwWN-aQOw=',3,1
BA,b'gAAAAABlvSCB0OkGluTwZtowKMmfBcsPArorCZxjayN2pAOitPJv_F4CCNTE1xIG99zlVeDZZg8GFDCUObBtg4bpoDTqR09DfxdxE1q8kmaiEDjlAUA3tZI=',6,5
BA,b'gAAAAABlvSCB0ykQ7PZup_R0D5Aa2wQRWWSGxNcXRdjLTEIevwXZLIfOt1-A2l1VLPC_IfscWa-a_IxB3n0-ufrZH7AxB4FFUyy5BABcIuBad_u-hOWICDg=',6,8
BA,b'gAAAAABlvSCBtkxzsMK2SZVbBChvzspf3Ou7JGOtY5hfyz9JKvGOBSVKBSMojQHekP7GdRaLZdtf7pNpZWP6nAlYyVTbD1tpaasS1j8mv6JGuRfvC_qaqNs=',2,1
BA,b'gAAAAABlvSCBGT32PG3lmtaDm00O7oRdq_VdsQzjyGrSHQsX1XqUDkiF-Db64H50MDLOe4_Q6BQMD2K-hUSBiChUgkV-XJ1nRczc6KNnNrbkSbNVTXH-ST4=',1,5
BA,b'gAAAAABlvSCBJ3nsipazRyllL-aEadlLNCCnmpItkdul7qO8jXWIZbbiPEfX4DulkKn_8Yt9oaAsg15EDaEtjCY3TtuC6eXMOLIGJKCdoxBQyO03wNgcbUA=',9,5
BA,b'gAAAAABlvSCBaHy1Lf51s7W9EyWK6Csd4MF10RnCWOcDWuPDp_o0_JXQamuaA2CrgQ-r4q5Fy76KXzZis86jkKAhuBVwG-vTvdOPvMl_mmRl0kt5A1NEa98=',5,2
BA,b'gAAAAABlvSCBZ9j31bHTTHFs7X-DgEwUEpMilAWhFJXQrUePn8He5YjU9dqdQTpJPEuTsu1fjVPyQpcpBR4RsP_pMF0yX6ykHQ7DWKcmPTh1I7gQ9Db9OGs=',0,2
