uf,profissional,metrica_1,metrica_2
MG,b'gAAAAABlvSCBBUgtk4mE1Y0FO2_-ecGbZFCOEZJBJGKUVmbEAF-hF6Qc10S9ruZ-fgVOW0zqEOpPijSJjHM8Mr8y_7Is4Gdi8D8MZ9t18128G9wiMpZvXCg=',6,2
MG,b'gAAAAABlvSCBaLbLhiokkvHL_QSJdNlyRWoZNiQaTjibrQFSCsyjbuUtoeIwFm8eEsZzOx5wh1MUtnEIkt-ImLcIQ-UpksSNt_BnRhg58Ry8KQMk1xxJnno=',3,8
MG,b'gAAAAABlvSCB3WGOda5-exF32S1eV2ucrLjsfAdIvf5d2KjwETArWAIZGLCVVwCjWQruAkdMjUCDwUs3T_lddiLV674RkKMZjecnuG3vcVH3JBNenl7nDOw=',8,8
MG,b'gAAAAABlvSCBwZFG_Pe9_FNR925Y5-wJCOm-4gCdIGIrFjnLSHcBZ475VuRFcepJ41uNuLcTwI4ABEP_-_HOdTCdmAsAAzeaAlKmaFfj66FnOsrpm6KLcCs=',1,2
MG,b'gAAAAABlvSCB63Vxgd2nxicQjKx8pjFr07IuxMAQFD0ZnObSwmtEw8cQosNIoo227RTBbwY6yFf--XwXTWLCl9MzEDvRzQLbeFViOH0wED2l7q_pUD6mZqw=',8,5
MG,b'gAAAAABlvSCBPGl5rAGfoRSzRtikOBHCcXSK17hlNxJpqB9SI-oPt18Chfv3wKBsC_8eQyxtiDTP5F4m5zb9dkxLKMm7G2w6DMzdTZ5UBioEkObsmWxHbKs1P7kEJQMRMPlcZAz-lHKo',9,6
MG,b'gAAAAABlvSCB7OwgH42kR1pCXiUDes78-BPrjd0FcPCoqMfJDjQRW9Sh6RM9v1IbDyBEfRtNEhNwzZ1yYGF7ydex0T9Z4M2TCFgp1PJgg7C6gxGylXee4-w=',4,0
MG,b'gAAAAABlvSCB72q72XPfB1W-02NtaNBoGy0ffduypTDtIvGDPFMTGfkno9WuzDByu8t6h1O2CoU50D6V8dB8MjUGPUah4XdJhBSOmms9qx1LtLtJDrlcFhs=',9,5
MG,b'gAAAAABlvSCBvXMpVdmpnttc_1sj2U8lK5jrLvfqgqm4EIbs9FRBuTwfTS8jDxjJ7ETw7OoaLu5M-d3op_jOe1EQFfL4uLSMHCiVd6V6pW2egPWXIXm2g7U=',8,0
MG,b'gAAAAABlvSCBaRD6xqWOVJ2m3tY_v3z8XWHpk6s7zJZVi5KAZdfH86yVTo779qGglgJvlg4QdHKvUd5srRC2lklI-rYF53qAspPSrfz9A8YNMSPMuSUNmg4=',9,6
MG,b'gAAAAABlvSCB11_ogLgezO-N1Tq9934-iWvFbNceo2KnoG9-t6xm37DIRQQie6nvKd0Im1EMJsoWsz89KBt8CkMuBTgIlb8loGm1e2xfG7jOhqYKfkw1luI=',7,2
MG,b'gAAAAABlvSCBl-6cdYWVeQx-HOrM3WvizRuJiIyM_-yzg1XHnPxlBNG7Z704cWquCXnHGReOPF7XWxrmHP3i7tUdwlboIwLZkXhKvW7gcT2frImUs2XI76k=',2,6
MG,b'gAAAAABlvSCBEF8kbEX2zqgSLr5YWjfXkfobm3LV5ShmXOeX6mRR27Ftt40OiU_dH7eH777ZsGuXg84ub2E7qrBJSDMUa6EPcq7xG9t7_qql6o5d2kB3rE7PEqZoB0lAZ0wvtwKa_O3j',3,7
MG,b'gAAAAABlvSCBETmbLzDBeqH-YlYW3l5mZjXI4ZckhqOjLcEceue6Lkc6Slqugw8_kd4AHF209SZa0fnxt0C22OrWe-R_9bVHIkqrw8g5A_JmBxUWUEv99_E=',2,9
MG,b'gAAAAABlvSCBWPUcgyyBLLDp0TEtmng7MN4PgNDcU5LJizK2uKVXB_OxHorO6NrVF2RlxVVo5pf4KqN8M6YNj6AzztUjP8mYl_Qccaerdm64WgquB6z3yyk=',68,17
MG,b'gAAAAABlvSCBMePEwMbFEAgOg_W95KUaSRfWaDqU7Qo3I9rrE4zqZyw9h35p-j6lQbIvbj0xFt7P4U6PCWagxa4-hJvcyqNp3lOZmLilFT-DcIaJbFWbPa8=',6,9
MG,b'gAAAAABlvSCBrydk-Kl03jEmg9JodfE5FlTLJ4dFBrw5E8jhQX3sogHGBlp4BW8M59YfEJfDoOF-yczq0jUM5zURro8MTUw2whYE13JETijQM4RzCubf3Vs=',0,0
MG,b'gAAAAABlvSCBGKrLuEFkOM8eXe1_Tme-J9utdHsEFqUEoiCcGFsLAqxhp9_C7tMgUeC-NfUEuLTQhjX5nHXFOAhdFnsIfaSXb67TEbuh8F5GOidZxK5eJ9U=',9,5
MG,b'gAAAAABlvSCBufrJ6ASSCqhv767B0OSJf4BVDJHq9glxJtDD7shbluDvEghtaNtYf1RYm2kHvvPTrYPRLIP9GULCMNLEHbh5klasOSyrSt8my7BAZjvZawY=',4,5
MG,b'gAAAAABlvSCBIQp-aTAlNLrErCuliGxLzl-fejgfpJnCKpkaYzsE4v5Pa65Bw5xxSH4NGFhwehWqWhDRhitA926DBXyB2FQFwWT8GOTmjEjTGup6UjNa8vcQr2ku_IV3tcUr7unKJb2n',9,8
MG,b'gAAAAABlvSCB3AOXRZS-dnVaQ6fQi9c-UMyWnPv-4HHT2SYenByZN7zg25Bw081DhXS53s4YKt78p6CoawvhZIcu_127_kPw4KT2ZVi6IAvvRIwEKZCWXYg=',8,9
MG,b'gAAAAABlvSCBt7jwtCQsRTTTgcyz6Ry19Q69jt2-PeRkOlDLfZD8fA75t_BDwLeM2qDmHURY5cvDoKvMxP-qk9EsWEnOOw8EB7ftca5kJJnu2VyaHHPxTxYqCqIAPraUC-ZrXLwR5h5r',8,8
MG,b'gAAAAABlvSCBtgm3GCgTDwK5c34w7Q3mLDOPHjqXyQLIYs-FRFStq_ZAVEjrAfF2Jw0A26M1c0LoXFtO9XjUpzicURaHCwmqug==',1,3
MG,b'gAAAAABlvSCB5VwQIi79kYc4-lETPzWsmu7njCU4cMINVepVfW8EHYXZrHyMp9dKOLFdIfaKMroB_xgU_Ec8huMpdF-Z6eehmsnxg9VvAySX8chhKNLp2Qc=',9,4
MG,b'gAAAAABlvSCB1XmAd63QKN5G9TwcszJ2i55BC8on_sli6zDKytdrg6yYFcI8Ml4GBdkFQr2pkYBVkE9HPkgcKa-l58BZbo9o3JrfwwJKholqdVQdmUtgM8s=',6,2
MG,b'gAAAAABlvSCB3P5NSiCfGSfIgJhRjpsgglGiJAYFdfmDS0okKk6y85cEsOhNulWQLgEaFleNV11cosiclKGtCyfsbaZwemz2YSDvmIszraSlKIbO9g5mxdo=',7,0
MG,b'gAAAAABlvSCBXrLfOOYp3Dsh67SyxEcXCWWQ3-QJ4GPgxwWlKkgaB3KBj3spEZZaVib0cscEr74v_3iGxR-jCqTDlWWmIDaGvheOLhOR_X11VrcEHfaviXU=',7,6
MG,b'gAAAAABlvSCB7r4OBo-UWZ-l-ySb5wBZy1H7eYlWe06ypTY4ZrMm1vs7SAHgoRB5UPaSCeFYSLvZKvr28A5t9TwmyMn8bL3nozZRIcIWWmdF_JhQjYHPovA=',4,5
MG,b'gAAAAABlvSCBGGG8BFPMSCFnKL95csaM8zmsJW5KDsDaI5aeLBUZVbDk_Bhet2fAXTIf1qSfJG5fDWx5mm_k5iQ-GVpa1opAQA8nJt7ITS5eQ2cCQhmxxAE=',5,4
MG,b'gAAAAABlvSCB_1yxtUEYivxksxAIsDL0h8CYIBeG-EKltRn6C8nlk5nVfjdaxQJalmcJ9LbQ8GKt2hQXOmJguGaadVEAMOUmKbU2l3a-unoq9joZSKhJ_pY=',6,6
MG,b'gAAAAABlvSCBuFYe9Yr95eomqpGxi3jcjm_C9soHrj2kUfms-Hj7SJLfpcf4YzMGInaAh48LLiTlpVxNsb62zfNFQGPRxnxF55-9oi1e-skimhowAGXWEfk=',8,2
MG,b'gAAAAABlvSCB5qlOKEaLl0uiUIdec3B-TRS5cQPdQ87ksR1TnWUPq40aC8JZ3BFSARyHRUv6WED31Enk9TVtROjdL3ZSJ77jlg2vgL3ARUKloVa09Hk7BVs=',95,64
MG,b'gAAAAABlvSCBzQr1i-Z-cAbdqHuGL_hhge3hTL60LRGlAmR2O3Yhw3W7b-0dpmrh9KXUGYdUOvAIn8YyQY_tMbVxqjIOSAq8UYLTh8LW2O4P_wiZ67G0OjU=',6,7
MG,b'gAAAAABlvSCBcud8EL61lcxpCISuIMYvwiiDYHqYtxzIo6TBJkjjVeS4TMtm3vUusNzNbpBGjOwAIO6TE64s39RtmzNc-yQjbrhyAyhPk0JytmttjmDOG1U=',3,7
MG,b'gAAAAABlvSCB0BFcDAjV6RyHuWCDG3CrVO07gXLcgzx1HDWdMKWashG91FvAte8aS129XZSvXNMR-u0ASOlXXYGdW8nCMYza2Il--XAnom6NV7TYMXJpZSY=',7,8
MG,b'gAAAAABlvSCBk5qFuZv1iWTEeecYSjmYvnC5acZBdUNvkgBOnZMWU-EpmMr79eMa87sTQD5j46SuK1dQHp-8HC8XEVpUMPU1PHCbFkWjC8l9j6lT2iLClhY=',4,1
MG,b'gAAAAABlvSCBQVaXjNW17V10xit7L2ytrUtL_Ic8FUdZoHcN_U21nvJLd70E3XD0XuzwEfWoHQ-VyEKC8hHiRm6RU97GdVfbYYgYBfFnKuCxs0pERcfBzPQ=',9,0
MG,b'gAAAAABlvSCBtlu04LddhebNCozn0uxYxGkZ5NOvkpCMviAWrZ1AGO-S4rHXTf3YHCADzZ7nyLEG8W64gR4DsLTYiP8-ESChMoGBOH_853IVtxEMkbLvnNY=',1,5
MG,b'gAAAAABlvSCBVH1BF3wgHexEWeSdwFDEwQP-iydA6zfB0wT2TJEHtfnt-AYR8z8wCL7Wm4P4SVQ-oys6pv-o0FsrmS_DGLKMkIidrHUmi63bYZDwsSYWv_c=',9,5
MG,b'gAAAAABlvSCBoZV8fd60VjOwJybxZkmAfjlthHQHx3m0JjfdHe791G3DD-k8yeUztvm2h7S681dFiF0DMstpBXxbJKLExiLkEidhW8i4Zk8Abyj7qOoQaXc=',5,6
MG,b'gAAAAABlvSCBL8sQTJHQvrBgQv7h9sanxfY3yEPTYNdvj-BRzpCyvH8tLyyxw0XbP5JmxhJVf_Nz391oR4SO6Wro6TTYWsF_zHtdms56omhVky5efVIofwQ=',3,8
MG,b'gAAAAABlvSCBIG_1cLWBzOIGLdZHgvxiJQJfuyNgynkpis_vJdTAHG4x8XMh9MnKe0ZLYxRsTtj_9wFY5xruwUMGxVvRTDbPH_1cKb91K0kOqCGkG_xH_DE=',2,5
MG,b'gAAAAABlvSCBUIvgHv9C-L_wiPwKmqF05nrnejIPST_6PzA_hDVyws_KkwdXmg_kS3kYEJpT2kEiRcV51Ne4mf6M_qvu9QywXRnw7qT4tFQMBwKs0C-Cdyg=',93,63
MG,b'gAAAAABlvSCBoAwAsJhDhmMAwHzyJbqcVMpwy0L6HSCnS0vDMlZzMcDnUsN8-Vdwr-QNKhfQB-o_G2i9TF7JIoCUDhOwHOqJmnhSW7_cseUeDb_WEEMFdVCbNRTufYB9d0_Wds66KeX9',5,1
MG,b'gAAAAABlvSCBYQlBZWER4VjhPtCvjANSpu6nKOIZKb4NgosOPJaP4nsfTLRQQtZ-4iZVu-OMf9N3xMLAGcmZSCZyyuDspIxuyOYDO1Hy64WUkzQfDVx2Hno=',7,6
MG,b'gAAAAABlvSCB5md2DbeNTyQ4R27XYW0Ha0jEegs6NqgBtbxufSOA4saXySOy9XTZBA2UWVNg7WNW7xZ3o97ruL94laQ7GWr-j5nLQEhKJvXjdu9WIs5oFWs=',0,59
MG,b'gAAAAABlvSCBT_DqhmV2YcAJiwhMQcYTPgTQor09GAXZ489YoBJcPFZWOCbujTd_Bp5_Mb0JFgsf1xpMbUCIL6PdfQQFcY3dh1SNu980pScsGHvYf13mEkQ=',87,51
MG,b'gAAAAABlvSCB-x7CMswexKaWVFg2DT1ChtHSs4_-9FwpQ9n1vFH5IS4gI6zVMhQelW1bxvZ3Km-CdHRtifLuOgLGabPRKsGWPg==',85,92
MG,b'gAAAAABlvSCB0pt9DXNhlVptED0z75QN2UokQDg_Qb5s-Vjesv5SQLaxLP-6DH5NTWs5UF1PYYKDfoNRNO3gASd7RaqIaL1N5GXm1mVhoU9odbagTqObIZs=',6,0
MG,b'gAAAAABlvSCB3LbRf-mkZ8DGPjy3XLFrmmvmluN-oVpON0FxGRXvKSclkOD6sC43vAC-9ufYZC3YQFdAmyCcBBXwbFK1bt5j--s3DzY-RYtSm18ClhCX7bE=',2,8
MG,b'gAAAAABlvSCBTgoOgxUbkcpcqtkKd2-ZBJaTFC5lh2hH54FIkdbZ9lEmziq-jPpgPCikDrdo78XpOzj8BBjO6BQTVhuP0qK3utcLJaNkg8VcjAci3qoRz2g=',5,7
MG,b'gAAAAABlvSCBhcmpDDexOga0WF4605LvJgSVu4LgGR-DBHuz-KWs8HRYpUGStrgKdKcUUC9lnLsPMIV4wOpl4tUpSww7_0GlrQ==',2,96
MG,b'gAAAAABlvSCBzqOZylBQNp_2hF5r_Eze54uAtp1oh3lnMhsCgxIPpAs4VRUESxJgHOZhAxsniklz1GdLrGCwY5_eV8ngq9_VqOPopt2tlnsV80vMdpENVeHkSUnltcT5RurXBppJ_BDq',4,0
MG,b'gAAAAABlvSCBS891MMbDtfrKwAomsLpO_nGTg89wJ3RBpCg-S-Zrnsqb11vuNgBV54nxbURshXBQzLyE3C653653MhaQRUXI7M9eMLAXVeBm7j6E_f5yk9k=',7,9
MG,b'gAAAAABlvSCB-fxDMdnR402vhsBBmGF1eyypq_chq8KDF5QNXFT5EBmNLzcNg-2GWibnA6Dj4rSWL9vEo4a6UFeCoYLh6lCiVmFEPlNf1XLL9OwAZtN_F64=',2,2
MG,b'gAAAAABlvSCBKKVBxgc38CTgZxKKDphVoIVjyRqrafugqbMBmsMs7P5xYVxKY4VtkUl6tHywOQUTtaZu8rcT2BROW7tKY2JmD1HOerwu9iVW62tA5kZkRF0=',5,8
MG,b'gAAAAABlvSCB0NyB3TpBMdFsnmWJhTPvZ-L1foo8T5QoXbQ2jM99fDK_3mi6cthKu0_QsOc4trv4UjTroAMJjC92hpqbRT1SUp9cOtFTWpb-QC__rrskmlc=',3,3
MG,b'gAAAAABlvSCBBKmOlOGkAnrpwAaeuVumcg7UIMwpQlHSosQ0cn5altxD5c6ZPX44CSaHhTp2ciIzimutRU9e2dHOoiHl0tIwM8K_BSN4m8RRsVnujylmVl0=',9,4
MG,b'gAAAAABlvSCBjz2J6z_0IPgJ03tQgSN5sbCb8xmwDxWO6v2SsgVkrSf3tFp2e0RBaw7pgN4Yee63l77YgaztUjG1JXrbRAVALd6cX71o0EjtIlWErFlm8ZA=',2,8
MG,b'gAAAAABlvSCBqHERCX6YKlwG_FT1MdrQjAWrnNvmprs1mFz1CNXWMqEKcnzcQisBX99ZUO6-8X3EqWkUtd8ahNayCu_ds3arnJV36wTaFb3ECZXW5_t_IDU=',3,1
MG,b'gAAAAABlvSCB4dhp02wHDwB5Ndl6CP_Uhsza2cRBoHwJVXRS1XbIhhdB26j9ocmCVnUh02n5z1NcVnGjbVYD_JoDyK3DYlYyp3YJoSqDVjAPsVAMS1qyrfjTt95MyrNOqKrTYVk2ferD',8,9
MG,b'gAAAAABlvSCB_PFQfkZ9XZSix_5LxOitYfNm788MsgNb3-jgMK8RF159Xw3u_evzQCjNE5ZJnF0lNPEHfvPa_udhCzFrTh-iHUqjxOjrje8CH5I8Td-Kfao=',0,5
MG,b'gAAAAABlvSCB74OuNiOujgWUS2vsnkgUS-NdJfGKKYo-YESQqWLraWUskO89_H3IUOtcqrxeLDuVUxLutgErzoHIaMhYRsg18YDP-WUzVgXZdzCNDkCsZlErHi5vnFq-EseCKRy6dcya',63,18
MG,b'gAAAAABlvSCB6ZPUzAneNW9z7cx_MRWG748RQmeg2gUB_w7NtiZbo0GhSpm-gk6Su2AERU0IMxTLZqG4S9c4dzA0VZzHcDmWHcv26deNsjQSdWNSWRd5b7s=',8,0
MG,b'gAAAAABlvSCBp1WWTPBgVGz1QSTL_wxlUmsd7ECbWaOqaSpzYUmdESr-c4U51-Z424-FELA0DLhaGqVBioxYg3sYBqhAZ5Y2eZRxGqUJXflYX9GN1KSERQY=',8,1
MG,b'gAAAAABlvSCBaH1CuJyFHd_-J30LrD7_NuROfogw1EZWGRAaouWO5XCIdEHAJRGKwNO8htFymgDmO-zq6PNql_iKOy0Pr2GTaP-tDfRZScAdQSI5ntwgwyI=',53,51
MG,b'gAAAAABlvSCBd9sqJsnTXXzCs0n7ouGrfyZZrIL4gLwvnjy347MlbKL40AbakWAnItRC_yeR5nmPwC-E_oL4zCsqjQaqBqZRpjwADIAKX-83qiBSBOSfYAA=',0,5
MG,b'gAAAAABlvSCBtCDwHBLo1aK1kruWnUILmXysT4OQag-F29SKbO2LkgtadLsWmR4JowGEx7r8AuLRa2utbMOlfcgcujMc8PVgf4SFIMmv9PKd0b341G8aUEY=',4,2
MG,b'gAAAAABlvSCBJbmYSCuvdmYJrmgZh85pCQB06-y-CgM-0_FuGl5t3_jYdkk9GuLbbJHkEmniv_QieGooawVNrpMnJJhQD9RooQhV7piDrS9xCJspfEjEVEuTVWP3b33xn21NooSZDG6O',2,5
MG,b'gAAAAABlvSCBMkuLHGDZq-iVSUlf_KIrdtp33j9pT2y_YfRzTjN26FqstUVFN1wPdR4atFCzECSSPEFSrywYBeWxY5VWrfMRMTHy5noWF373KybAbzNhr3OnzOGVxF62W4d1yiYH68rd',67,46
MG,b'gAAAAABlvSCBAQW9xiSe007HOQmMK5FhUZkSR5WO2CHDjBOLWgT0_jw8UqBgmSr6yiZLBgK5MUK2CoizlLdnWhuB1wpjRi30F5uNBWTwLI1S0BVHt2wFb9XD0PbLEZbIPnTODuoGFyTM',4,5
MG,b'gAAAAABlvSCB74G0TKNl9o4ahVhYbriBVclCLUiQWdyfrgbMFimuKywRUrUtaMVj5Ur9wEebAY35pxOR0TtAFju-TZpGCLoE-zeBZXcxgQRE0zA8Afjdo-zIOXjaP1oSwllvIaNWkYbA',3,9
MG,b'gAAAAABlvSCBZUv3CVSxmoXJ0DL0OGgDTO4gax8JZtKy39Ker7Qf0v5DZu4We9KNGQYEy_-HZa6XZ8Rsi_1T28-NanTv6m49qhBwskKPQ4NZTHZNw7sX-4s=',51,75
MG,b'gAAAAABlvSCBv-EXMM7QS_k4uAOuzsD8C4eVlmtetxUUkvjr6BQZgupbz0L-_dDYXjDXsUPIwob9Cng0w7q5jKdKWMKfpU6pgRL5sIGFsVsszJkBzF5-C68=',9,2
MG,b'gAAAAABlvSCBe3GlXRTEryGwkunTOaQ749zAnWhKpDxMN3BCMy8cn2o6JSdjIdvgd7gYuRPULF5sVRg5vgaJ-wl-6Lj0gtKsI0nMe8hdv0AITMeJf6x2-MkujD-Q5_5ZDDZgcPRf5geF',4,4
MG,b'gAAAAABlvSCBVerNAEJ6RwPiyD63W6g2LkYJ-hsmoo7tAAU2jUli5zJY5ub8fbOChFNv6glAlfz8M3wXm1gkI-xNn1i11kwsJGyf7hJxGJrivMBZ5alsJ28=',6,8
MG,b'gAAAAABlvSCBUySL5u36BPKlzd1Xa87HXsm7Vjg7A7tHC3apKL5myas0CZA2Pve9Ta9m0muoXRNoh4T0WmXsAi7uSmUR08QD-OmNP26FhjBbZEyZbupJjl8=',5,3
MG,b'gAAAAABlvSCBBVP7BpjDnjZeeUoy-lk7fLbP6OjGrc-2799E42O7TKYZQsRdnw10ePOFYQNun2Yl006Sk6wgxs9H6dlq-FQMeRu5W8gVrVa5MG_rUKyZrNY=',5,9
MG,b'gAAAAABlvSCBsdzrc_8hvs74G5zIGFfUCsCwQNCbIEB8FPEH4KtTpXf00PiOH12xPVyWvDS3-GJbBGK9Riyi3GRgkKDM-7bbP2u8_LCqA1hxf_KXPKYUT3E=',8,8
MG,b'gAAAAABlvSCBt6B5GNwJGrew9WjUme7IHLyXjsktcEObvboT2ee_9k6Qs9wV2VdWGSCoLTIAhRmCEEY6qmmgNpjbzS3_Z9U7iAKkL_gDpLM7LdU2XQEgShQ=',4,35
MG,b'gAAAAABlvSCB6Vkpg72Z5DqUoD1uo8-Ac3Fhw4hirsBJnqLWk5jEN4W4I5S6lGNSzKWTD-2NjmJAAFpxnnJHOC67HWCD_c6bIH7qWYM_xkXKrXDm513ScYM=',0,2
MG,b'gAAAAABlvSCBjrHjCDLKDjHcrvk5Z1Uhh3lujoWGbW0Ga5Gv7uHdzruAIgUFbG4i52NHu5xq3eAxR1VvZ293DtP9MChVm6Dp2FxZ3KdZmvYDk2cqxtczeLo=',2,3
MG,b'gAAAAABlvSCBOgm28-mfQyKlKLkznIJJw05KFdoEv2ZsuAdFB7nBR2JOJo5ObW2C57SeTLaQNfBcckLBEOJxht7wfPVFsnJoz6oLki3zpICAKtyARBI1zTQ=',71,46
MG,b'gAAAAABlvSCBl1728KJCpk_H96SPElt86x_Tr1q6_8XYkXIK2VyFj0hPlTD3eDEwRPZOzUi-AnGS8A9xcPp3uQ0aqQ-tLannOhEbp2wXl9zaKgIPdNv4lsY=',4,0
MG,b'gAAAAABlvSCBBSUZ1S0Es0PhlheLCKXb6b6ZvG3lha_F4o28m3bPFaH8bW_JqhEVAjEMb1AYQKarqhpPG0TTxH8DEdvur7b4qHpiZfnwXzZUfAh-ALeIruE=',3,4
MG,b'gAAAAABlvSCBnUKNRLw0GzTZe-AqRLLkGWsTtuy1Ti1tmL6d8n1k18D7xQeig8el9EIWzsjAAmX0SIb0GqusqHxR3buuSTbgr2R1XMuGNDMES0HgM839uak=',2,46
MG,b'gAAAAABlvSCBnjusV8rDwVG17LvB92Frwsi9wybReEQATJ_NS0sw-fTsLz_QJvZuTxURY3HXM21kZmFYk6wDivIPcqgOKzO3c6X9_3X1Ucrh4_2TxttUHko=',5,8
MG,b'gAAAAABlvSCBk2504PGnpPfgiQczT5TEWpNZ-UcmV8QQ8PMwltTFmb-UDUtWRa9N91-ulxwOgyh0yBoRdBCoQ6IOGYF5YiHD3PDrIIo-xCSvWesmigxeP5Y=',0,1
MG,b'gAAAAABlvSCB1yc1cFIdoISre8VX9JH_bZkq1C01zQ9e9l9EsHwAC5okZyhFxyme4sPcqpalFCS0wv_Vs6O8MOs5tguKdFmfxZq0__PesvJvCUUd8L-Ln1k=',0,3
MG,b'gAAAAABlvSCBkgJFfNlOs_N5kBGFLPWMrR4ULDBgHLgKkSRvAmWz_e7qX9CoKzj7jVHvyjMWOcJ04ppVtFlQgBx2gJW8rw_hYr9qA5F1Q0eWtYRm9JPm_xc=',1,0
MG,b'gAAAAABlvSCB_3en7hSgwHYHeoXaIPtIvuWkadPM5ADxx2w4zBmDIlU02FWSXt33UHnatEPU1KosJMUL267KHDKsW8E3MPJGYu9QYjP6VANkHmyOA6kTUNk=',9,4
MG,b'gAAAAABlvSCBG5cYb5cR_BfwC8vh-WWlYGVqwMJFGFX211j49cvqOoA7yyC3lSjvCN33T8kgzL94xHzZK2ag8BIcR3m5xwxx_haLrTLHwRZnisTcbfKYyJs=',8,0
MG,b'gAAAAABlvSCBZpexIZe2NnJ7yxnMLbU87ixobrPjG2qfHAcUKhNgD2v8if88LS1hk8UsrAZHsnsA0iKcLhYa9QFRmMjgnRq7F_1LGO87hlCBcX2ZBeVU4vg=',5,7
MG,b'gAAAAABlvSCBsoRykL9afyPFfzlu0Rr0rqd0ApRA7LEWDIKNOXBz363AyYhmZCKR4VHNEF0PM6Yg4nzk_XYhMcyGJIWDxeYMRlcdu9ac75v-XUnZ3wHqnPY=',12,58
MG,b'gAAAAABlvSCBx1Grpo8OaQmkZGLAuNs6_hfN1LFoTTGbOh-tFXW72HFFJ1tZOrWnYgcF-UxuBp7mTANJ0b83ma7vm233SOOxvw7Uf3hBA_tPHp4BbNBqwpY=',9,2
MG,b'gAAAAABlvSCBii8lm2m8rP5iW7vyRQn2BdlTxUmeRhi-60ntpgPBKbdSL8Eg6H0X18Tpi5Qr6l-9wtn7HMJy4IhDHr_N1EDGYg==',7,6
MG,b'gAAAAABlvSCBWJ2ELGklSXTwa4odZYw7Xn5EYyPeyrGSg1G-dCO3YhdO5Cjm-3v23YRsfsJT9MxGwoDIfMbWJESBwUFCBU5ekcwJI8GnQ8unEnbUGg2hD3U=',8,28
MG,b'gAAAAABlvSCBrVWgxQGBiiNiCtXVZwjuX_dbthplXYqt0mn_Izdyy8EIpepEiE1izRvDOW79-BGTJOMC4AvmpeggJs3SgmuSkm2y6Emldlw3nTAGamrTHaU=',9,0
MG,b'gAAAAABlvSCBo7tJ2mQ6cZb5oKjPrbSVz-wX98Y5yVFcsxrcmNAATKrvb3DKx1RXBI1PmtLUbsEfozSKs96K9RdOtut7BrTBTcn7x07l_gHCkFNectS3l-U=',9,9
MG,b'gAAAAABlvSCBtO_fuMo8A8Zs7-Mil2iuVdirNU_eYHETijOh6lA5QSX1aUs0u-aBwJx3OTBdbo90ln9GAQe524mokSWK12LIB_5TDtjJln88w15Bt3XurCzq8-SFoSaJuh_zz_pSNvEA',6,6
MG,b'gAAAAABlvSCB9dYwEyZAqPgL0c93cgYLQPm-AhbrGAR9hjQ0h8T94JGBlnAcLBZR1WIk8WLlReGLKkmwQCl6lAxJ1prek5rGGOgnPqLh2boU7jqzKvrrwlYHga842vsOT0MuvZWnyU_6',2,4
MG,b'gAAAAABlvSCBwFwfWz5i7S4BQc4umr8XMbZVbv6gQy-37AtVcz4jgQgCODDjXtRc_srAi6b2mmsgd8ykd724shRaPOEJ2ulsNWEiiXKW0L4mUqG7OnUOalQ=',1,2
MG,b'gAAAAABlvSCBZjaUmY7wRtpNziHWQn5Xchl4KAqbf4W-d43LqwUJhR0_-8pEdyA60gCpA0pq_JcithiNWtpF7mbENddNwjEfO2qdqj43vBkVurrvgdjWaOM=',1,3
MG,b'gAAAAABlvSCBfe3wsLpGPEs6eMh6iXBYGBK0d9acjQxelILWfftbR014b3DKo-FrlDpX27Nciu_7uZ523YFVhfPIlzSeiNrvwr4zTgVl61EHDBTBfSsr-ZA=',60,76
MG,b'gAAAAABlvSCBlcnrgUcxpEB7sKibJ2FNolU-09-rDqfNnK9U3HeD0_BFyuQCSRhvvp5aNhzOzvDOayG2W1HNr1lADyFYok0O6Pyy0xrVMpzrGGsJXHQsc-Q=',4,0
MG,b'gAAAAABlvSCB-oRxlGdeu5QStKHhsxLLM-B4Jh3eL5l3XC95cJfi7GvYI2CBI-e7wglrKK3IWvIRg9sy51WP9lze-pMOh8RcK-8djQq4JFiWNGuVmIVwAr4=',7,1
MG,b'gAAAAABlvSCBAOxdMkNuPxLKFUIo61LL-SSurVQldOjNfM27A0RicjaWeTYkpyUmX5Awt179olEabWGhLzqA6WCG9qhzEGDF2_fPmuAP0TB814mv2uhIIIc=',1,6
MG,b'gAAAAABlvSCB6eKmF85qsSM6IpXojgIHRGgSS0T7da8KzJ4gg5ex-RS6FIr0yVdqnt56HJDXv7gY7FUbFUieRNYPTkRv-SkD7eF3Shjk2HGwVPHVIn8IoJU=',4,5
MG,b'gAAAAABlvSCBdlelnKtEIsXkc9TBkIl1iohijhOFJlX7kGQ4-X6WcKrVcqQt6wJrqGOD99RodPVSZo0UwdTiUVMxzwgCIJPy198If3WVCeKAtNks56KJ4HmNP5ulXbbzGAQwOgcnu9Lm',68,42
MG,b'gAAAAABlvSCBz_AjkkSZBIoW1r8hxwLTCL_74cRDr8xuFZ7dilAxC-K3zcjz62LcGzOd2PEbG1VJe-NYfw96sEAFwHC16zhBxsMLZqeT8T0u9P2ZdYar6BI=',5,2
MG,b'gAAAAABlvSCB3YqVzblDsGcpfllpWYxAV-NOFbxC6Hkhk62N7Za9In7bu0q3upd0f1ony9E4Lcu_mi6rtEfCfSubkJguQ7qUqiXIg06c1z9PuIR7GteFBtc=',2,5
